tof	yint	yerr
7.00000 	4942	70.29935988
7.01697 	4956	70.39886363
7.03395 	5084	71.30217388
7.05092 	4956	70.39886363
7.06790 	4942	70.29935988
7.08487 	4914	70.09992867
7.10185 	4886	69.89992847
7.11882 	4970	70.49822693
7.13580 	4998	70.69653457
7.15277 	4942	70.29935988
7.16975 	4956	70.39886363
7.18672 	4928	70.1997151
7.20369 	4816	69.39740629
7.22067 	4802	69.29646456
7.23764 	4844	69.59885057
7.25462 	4886	69.89992847
7.27159 	4816	69.39740629
7.28857 	4789	69.20260111
7.30554 	4816	69.39740629
7.32252 	4830	69.49820142
7.33949 	4802	69.29646456
7.35647 	4747	68.89847604
7.37344 	4720	68.70225615
7.39041 	4706	68.60029154
7.40739 	4733	68.79680225
7.42436 	4761	69
7.44134 	4761	69
7.45831 	4747	68.89847604
7.47529 	4747	68.89847604
7.49226 	4802	69.29646456
7.50924 	4789	69.20260111
7.52621 	4802	69.29646456
7.54319 	4775	69.10137481
7.56016 	4761	69
7.57713 	4692	68.49817516
7.59411 	4651	68.19824045
7.61108 	4706	68.60029154
7.62806 	4761	69
7.64503 	4679	68.4032163
7.66201 	4665	68.30080527
7.67898 	4720	68.70225615
7.69596 	4502	67.09694479
7.71293 	4775	69.10137481
7.72991 	4747	68.89847604
7.74688 	4692	68.49817516
7.76385 	4679	68.4032163
7.78083 	4638	68.10286338
7.79780 	4651	68.19824045
7.81478 	4747	68.89847604
7.83175 	4583	67.69785816
7.84873 	4597	67.80117993
7.86570 	4597	67.80117993
7.88268 	4733	68.79680225
7.89965 	4638	68.10286338
7.91663 	4679	68.4032163
7.93360 	4733	68.79680225
7.95057 	4638	68.10286338
7.96755 	4610	67.89698079
7.98452 	4692	68.49817516
8.00150 	4638	68.10286338
8.01847 	4583	67.69785816
8.03545 	4651	68.19824045
8.05242 	4651	68.19824045
8.06940 	4624	68
8.08637 	4597	67.80117993
8.10335 	4624	68
8.12032 	4583	67.69785816
8.13729 	4624	68
8.15427 	4720	68.70225615
8.17124 	4733	68.79680225
8.18822 	4638	68.10286338
8.20519 	4679	68.4032163
8.22217 	4692	68.49817516
8.23914 	4543	67.40178039
8.25612 	4449	66.70082458
8.27309 	4516	67.20119047
8.29007 	4570	67.60177512
8.30704 	4489	67
8.32401 	4462	66.79820357
8.34099 	4529	67.29784543
8.35796 	4583	67.69785816
8.37494 	4529	67.29784543
8.39191 	4462	66.79820357
8.40889 	4462	66.79820357
8.42586 	4396	66.30233782
8.44284 	4489	67
8.45981 	4449	66.70082458
8.47679 	4436	66.60330322
8.49376 	4422	66.49812027
8.51073 	4396	66.30233782
8.52771 	4330	65.80273551
8.54468 	4436	66.60330322
8.56166 	4369	66.09841148
8.57863 	4543	67.40178039
8.59561 	4543	67.40178039
8.61258 	4343	65.90144156
8.62956 	4422	66.49812027
8.64653 	4516	67.20119047
8.66351 	4330	65.80273551
8.68048 	4422	66.49812027
8.69745 	4462	66.79820357
8.71443 	4489	67
8.73140 	4556	67.49814812
8.74838 	4436	66.60330322
8.76535 	4502	67.09694479
8.78233 	4422	66.49812027
8.79930 	4570	67.60177512
8.81628 	4597	67.80117993
8.83325 	4692	68.49817516
8.85023 	4679	68.4032163
8.86720 	4830	69.49820142
8.88417 	4816	69.39740629
8.90115 	5213	72.20110802
8.91812 	5388	73.40299721
8.93510 	5670	75.29940239
8.95207 	6100	78.10249676
8.96905 	6448	80.2994396
